run_id,timestamp,gpu_seconds,usd
20260707T214037-v001-baseline-partial,2026-07-07T21:50:31,232.1,0.2546
20260707T215242-v001-baseline,2026-07-07T22:32:55,2116.0,2.3217
20260707T235246-v002-completion-contract,2026-07-08T00:43:34,2720.8,2.9853
20260708T004754-v002-completion-contract,2026-07-08T01:31:40,2285.5,2.5077
20260708T015417-v003-stop-hook-enforce,2026-07-08T02:15:02,1467.8,1.6105
20260708T030102-v004-localization-discipline,2026-07-08T03:37:10,2167.0,2.3777
20260708T041303-v002-completion-contract,2026-07-08T04:44:17,1979.6,2.1721
20260708T131359-v002-completion-contract-partial,2026-07-08T13:20:05,41.0,0.045
20260708T132147-v002-completion-contract,2026-07-08T14:32:34,4244.7,4.6574
smoke-ornith-lora-20260708T181245,2026-07-08T18:12:45,482.0,0.5289
smoke-20260708T181416,2026-07-08T18:14:16,30.8,0.0338
20260708T181500-v002-completion-contract,2026-07-08T19:18:53,3820.4,4.1919
20260709T014057-v005-script-first-partial,2026-07-09T01:45:36,181.8,0.1995
20260709T235258-v006-skill-library-partial,2026-07-10T00:05:38,232.1,0.2547
20260710T000737-v006-skill-library-partial,2026-07-10T00:18:13,232.4,0.255
smoke-ornith-lora-20260710T041613,2026-07-10T04:16:13,494.8,0.5429
20260710T041647-v001-baseline,2026-07-10T05:09:16,3135.9,3.4408
smoke-ornith-lora-20260710T124114,2026-07-10T12:41:14,451.4,0.4953
20260710T124151-v001-baseline,2026-07-10T13:24:33,2549.0,2.7968
20260710T141448-v001-baseline-partial,2026-07-10T14:38:38,1004.7,1.1024
20260710T154237-v001-baseline,2026-07-10T17:01:19,4720.4,5.1794
20260710T203554-v001-baseline-ornith-native-partial,2026-07-10T20:52:15,980.5,1.0758
20260710T210023-v001-baseline-ornith-native-partial,2026-07-10T21:17:00,996.5,1.0933
20260710T212327-v001-baseline-ornith-native-partial,2026-07-10T21:32:04,516.7,0.5669
20260710T202226-v001-baseline,2026-07-10T21:49:52,4841.8,5.3125
20260710T215216-v001-baseline-ornith-native,2026-07-10T22:33:22,2289.0,2.5116
20260710T223635-v001-baseline-ornith-native-partial,2026-07-10T22:45:58,188.0,0.2063
